Rank,CCA3,Country/Territory,Capital,Continent,2020 Population,World Population Percentage
1,CHN,China,Beijing,Asia,1424929781,18.17686221760399
2,IND,India,New Delhi,Asia,1396387127,17.81276295039754
3,USA,United States,"Washington, D.C.",North America,335942003,4.285384152299436
4,IDN,Indonesia,Jakarta,Asia,271857970,3.467907632598998
5,PAK,Pakistan,Islamabad,Asia,227196741,2.8981946426493135
6,NGA,Nigeria,Abuja,Africa,208327405,2.657491328575148
7,BRA,Brazil,Brasilia,South America,213196304,2.7196005689422913
8,BGD,Bangladesh,Dhaka,Asia,167420951,2.1356754552014157
9,RUS,Russia,Moscow,Europe,145617329,1.8575414459167021
10,MEX,Mexico,Mexico City,North America,125998302,1.6072748325175592
11,JPN,Japan,Tokyo,Asia,125244761,1.5976624213553032
12,ETH,Ethiopia,Addis Ababa,Africa,117190911,1.4949249224811394
13,PHL,Philippines,Manila,Asia,112190977,1.4311441575431416
14,EGY,Egypt,Cairo,Africa,107465134,1.370859785486054
15,COD,DR Congo,Kinshasa,Africa,92853164,1.1844648003020346
16,VNM,Vietnam,Hanoi,Asia,96648685,1.232881685948572
17,IRN,Iran,Tehran,Asia,87290193,1.1135017544482497
18,TUR,Turkey,Ankara,Asia,84135428,1.0732585582581355
19,DEU,Germany,Berlin,Europe,83328988,1.0629713504516727
20,THA,Thailand,Bangkok,Asia,71475664,0.9117665401925921
21,GBR,United Kingdom,London,Europe,67059474,0.8554322013170116
22,TZA,Tanzania,Dodoma,Africa,61704518,0.7871226616532239
23,FRA,France,Paris,Europe,64480053,0.8225282780897979
24,ZAF,South Africa,Pretoria,Africa,58801927,0.7500962780485307
25,ITA,Italy,Rome,Europe,59500579,0.7590085074870517
26,MMR,Myanmar,Nay Pyi Taw,Asia,53423198,0.6814834823567892
27,KEN,Kenya,Nairobi,Africa,51985780,0.6631473164042693
28,COL,Colombia,Bogota,South America,50930662,0.6496878921118986
29,KOR,South Korea,Seoul,Asia,51844690,0.661347527022029
30,ESP,Spain,Madrid,Europe,47363807,0.6041879434479919
31,UGA,Uganda,Kampala,Africa,44404611,0.5664394882720909
32,SDN,Sudan,Khartoum,Africa,44440486,0.566897121301277
33,ARG,Argentina,Buenos Aires,South America,45036032,0.5744940974685154
34,DZA,Algeria,Algiers,Africa,43451666,0.5542834156031636
35,IRQ,Iraq,Baghdad,Asia,42556984,0.5428705644862774
36,AFG,Afghanistan,Kabul,Asia,38972230,0.4971422904261503
37,POL,Poland,Warsaw,Europe,38428366,0.49020458646001014
38,UKR,Ukraine,Kiev,Europe,43909666,0.5601258107911007
39,CAN,Canada,Ottawa,North America,37888705,0.4833204973125924
40,MAR,Morocco,Rabat,Africa,36688772,0.46801376634087427
41,SAU,Saudi Arabia,Riyadh,Asia,35997107,0.45919066531977276
42,AGO,Angola,Luanda,Africa,33428485,0.42642449760704504
43,UZB,Uzbekistan,Tashkent,Asia,33526656,0.42767679843236156
44,PER,Peru,Lima,South America,33304756,0.4248461707201274
